Dataset,Method,Compression_Ratio,Avg_GPU_Memory_MB,Max_GPU_Memory_MB,Avg_F1_Score,Avg_Latency_Sec
narrativeqa,llmlingua,0.1,12293.18,13309.98,0.11855,1.81810
narrativeqa,llmlingua,0.4,12570.03,16931.81,0.16749,2.90479
narrativeqa,llmlingua,0.6,12763.49,17361.25,0.17847,4.18190
narrativeqa,llmlingua,0.9,12951.41,17392.53,0.19932,5.71700
narrativeqa,random,0.1,12076.25,12937.30,0.10113,1.03000
narrativeqa,random,0.25,12288.94,14702.99,0.11207,1.64995
narrativeqa,random,0.4,12523.19,16761.50,0.10596,2.64520
narrativeqa,random,0.5,12634.90,17361.25,0.11066,3.42789
narrativeqa,random,0.6,12720.45,17392.53,0.10301,3.79674
narrativeqa,random,0.75,12818.65,17392.53,0.11638,4.55349
narrativeqa,random,0.9,12898.51,17361.25,0.11713,5.25399
triviaqa,llmlingua,0.1,12074.75,12677.03,0.39911,0.61180
triviaqa,llmlingua,0.4,12207.53,13796.69,0.40768,1.11568
triviaqa,llmlingua,0.6,12305.59,14562.44,0.41737,1.56303
triviaqa,llmlingua,0.9,12535.15,15839.33,0.40625,2.67698
triviaqa,random,0.1,12026.63,12463.37,0.40199,0.42169
triviaqa,random,0.25,12115.47,13079.17,0.39500,0.77083
triviaqa,random,0.4,12177.49,13078.62,0.38871,1.00739
triviaqa,random,0.5,12226.52,13865.51,0.39222,1.22639
triviaqa,random,0.6,12278.09,14545.15,0.39995,1.43033
triviaqa,random,0.75,12355.12,14911.18,0.39666,1.79144
triviaqa,random,0.9,12438.97,15747.67,0.40208,2.17113
hotpotqa,llmlingua,0.1,12026.13,12347.06,0.16872,0.73380
hotpotqa,llmlingua,0.4,12202.51,13253.68,0.27535,1.36657
hotpotqa,llmlingua,0.6,12289.61,13878.40,0.31263,1.77741
hotpotqa,llmlingua,0.9,12455.16,14781.92,0.34805,2.69742
hotpotqa,random,0.1,12870.08,14231.33,0.13692,9.80422
hotpotqa,random,0.25,12170.61,12660.67,0.15398,2.11696
hotpotqa,random,0.4,12936.83,14247.71,0.16472,9.19131
hotpotqa,random,0.5,12233.65,13420.68,0.16171,1.52227
hotpotqa,random,0.6,12274.99,13727.43,0.15209,1.76394
hotpotqa,random,0.75,12362.45,14080.47,0.16641,2.18528
hotpotqa,random,0.9,12439.03,14739.73,0.16985,2.67262
multifieldqa_en,llmlingua,0.1,12007.99,12172.70,0.24040,1.53558
multifieldqa_en,llmlingua,0.4,12100.86,12813.84,0.29083,1.32405
multifieldqa_en,llmlingua,0.6,12193.08,13798.49,0.32675,1.87502
multifieldqa_en,llmlingua,0.9,12283.33,13596.11,0.41571,2.20832
multifieldqa_en,random,0.1,11984.19,12064.09,0.18759,1.24144
multifieldqa_en,random,0.25,12032.72,12515.03,0.18527,1.13947
multifieldqa_en,random,0.4,12088.05,12568.96,0.19598,1.55915
multifieldqa_en,random,0.5,12130.37,12869.00,0.18361,1.56272
multifieldqa_en,random,0.6,12164.04,12940.26,0.16715,1.70952
multifieldqa_en,random,0.75,12341.02,13777.71,0.19163,2.94272
multifieldqa_en,random,0.9,12271.88,13771.34,0.17932,2.07745
